request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 71693581.52 available during the 90-day forecast.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 85250.72 available during the 90-day forecast.
request_28,289.23,not_affordable,not_recommended,none,2024-08-16,none,"Do not proceed by 2024-08-15. Full payment first becomes safe on 2024-08-16, after the requested completion date."
request_29,1855.42,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51524 request. The full amount does not become safe within the 90-day forecast while protecting the ZAR 28300 minimum balance.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,use 3 installments starting 2026-04-06. Total payable is USD 806.22. This leaves at least USD 3309.30 available during the 90-day forecast.
request_31,2374189.54,not_affordable,not_recommended,none,2024-11-16,none,"Do not proceed by 2024-11-15. Full payment first becomes safe on 2024-11-16, after the requested completion date."
request_32,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 40018 request. The full amount does not become safe within the 90-day forecast while protecting the ZAR 35700 minimum balance.
request_33,30731.19,affordable_with_plan,wait,2026-02-16:118000,2026-03-16,reduce_to:event_2968:2240,"Wait until 2026-02-16, then pay INR 118000 in full. Paying earlier would put the INR 102100 minimum balance at risk."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 410708.96 available during the 90-day forecast.
request_35,26415.33,not_affordable,not_recommended,none,2026-01-16,none,"Do not proceed by 2026-01-15. Full payment first becomes safe on 2026-01-16, after the requested completion date."
request_36,442.02,not_affordable,not_recommended,none,2026-09-16,none,"Do not proceed by 2026-09-15. Full payment first becomes safe on 2026-09-16, after the requested completion date."
request_37,3826382.63,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 14649000 request. The full amount does not become safe within the 90-day forecast while protecting the IDR 17056200 minimum balance.
request_38,160.56,not_affordable,not_recommended,none,2025-10-16,none,"Do not proceed by 2025-10-15. Full payment first becomes safe on 2025-10-16, after the requested completion date."
request_39,43395.18,not_affordable,not_recommended,none,2026-06-16,none,"Do not proceed by 2026-06-15. Full payment first becomes safe on 2026-06-16, after the requested completion date."
request_40,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1290.30 request. The full amount does not become safe within the 90-day forecast while protecting the EUR 1500 minimum balance.
